Doge,Dogaressa,"Doge raw","Dogaressa raw",Century,Start,End,"Family doge","Family dogaressa"
"Marino Zorzi",Agnese,"Marino Zorzi (1311-1312)","1310-1312: Agnese",13,1311,1312,Zorzi,
"Giovanni Soranzo",Franchesina,"Giovanni Soranzo (1312-1328)","1312-1329: Franchesina",13,1312,1328,Soranzo,
"Francesco Dandolo","Elisabetta Contarini","Francesco Dandolo (1328-1339)","1329-1339: Elisabetta Contarini",13,1328,1339,Dandolo,Contarini
"Bartolomeo Gradenigo","Giustina Cappello","Bartolomeo Gradenigo (1339-1342)","1339-1342: Giustina Cappello",13,1339,1342,Gradenigo,Cappello
"Andrea Dandolo","Francesca Morosini","Andrea Dandolo (1342-1354)","1342-1354: Francesca Morosini",13,1342,1354,Dandolo,Morosini
"Marino Faliero","Aluycia Gradenigo","Marino Faliero (1354-1355)","1354-1355: Aluycia Gradenigo",13,1354,1355,Faliero,Gradenigo
"Marino Faliero","Tommasina Contarini","Marino Faliero (1354-1355)","1354-1355: Tommasina Contarini",13,1354,1355,Faliero,Contarini
"Giovanni Gradenigo","Marina Cappello","Giovanni Gradenigo (1355-1356)","1355-1356: Marina Cappello",13,1355,1356,Gradenigo,Cappello
"Giovanni Gradenigo","Adriana Borromeo","Giovanni Gradenigo (1355-1356)","1355-1356: Adriana Borromeo",13,1355,1356,Gradenigo,Borromeo
"Giovanni Dolfin",,"Giovanni Dolfin (1356-1361)",,13,1356,1361,Dolfin,
"Lorenzo Celsi","Marchesina Ghisi","Lorenzo Celsi (1361-1365)","1361-1365: Marchesina Ghisi",13,1361,1365,Celsi,Ghisi
"Marco Cornaro","Caterina Cornaro (o Corner)","Marco Cornaro (1365-1367)","1365-1367: Caterina Cornaro (o Corner)",13,1365,1367,Corner,Corner
"Andrea Contarini",,"Andrea Contarini (1367-1382)",,13,1367,1382,Contarini,
"Michele Morosini","Cristina Condulmiero (o Condulmer)","Michele Morosini (1382-1382)","1382-1382: Cristina Condulmiero (o Condulmer)",13,1382,1382,Morosini,Condulmiero
"Antonio Venier",Agnese,"Antonio Venier (1382-1400)","1382-1400: Agnese",13,1382,1400,Venier,
"Michele Steno","Marina Galina","Michele Steno (1400-1413)","1400-1413: Marina Galina",14,1400,1413,Steno,Galina
"Tommaso Mocenigo","Unknown Cappello","Tommaso Mocenigo (1413-1423)","1413-1423: Unknown Cappello",14,1413,1423,Mocenigo,Cappello
"Francesco Foscari","Marina Nani","Francesco Foscari (1423-1457) - forzado a abdicar por el Consejo de los Diez","1423-1457: Marina Nani",14,1423,1457,Foscari,Nani
"Pasqual Malipiero","Giovanna Dandolo","Pasqual Malipiero (1457-1462)","1457-1462: Giovanna Dandolo",14,1457,1462,Malipiero,Dandolo
"Cristoforo Moro","Cristina Sanudo","Cristoforo Moro (1462-1466)","1462-1471: Cristina Sanudo",14,1462,1466,Moro,Sanudo
"Nicolo Tron","Aliodea Morosini","Nicolo Tron (1466-1473)","1471-1472: Aliodea Morosini",14,1466,1473,Tron,Morosini
"Nicolo Marcello","Contarina Contarini Morosini","Nicolo Marcello (1473-1474)","1473-1474: Contarina Contarini Morosini",14,1473,1474,Marcello,Contarini
