"Orso Ipato (c. 727 – c. 737)",
"Domenico Leone (c. 737)",
"Felice Cornicula (c. 738)",
"Teodato Ipato (c. 739)",
"Gioviano Ipato (c. 740)",
"Giovanni Fabriciaco (c. 741)",
"Teodato Ipato (c. 742-755)",
"Galla Gaulo (755-756)",
"Domenico Monegario (756-764)",
"Maurizio Galbaio (764-787)",
"Giovanni Galbaio (787-804)",
"Obelerio Antenoreo (804-809)","804-811: Carola"
"Angelo Participazio (809-827)","811-827: Elena"
"Giustiniano Participazio (827-829)","827-830: Felicita"
"Giovanni I Participazio (829-837)",
"Pietro Tradonico (837-864)",
"Orso I Participazio (864-881)",
"Giovanni II Participazio (881-887)",
"Pietro I Candiano (887)",
"Pietro Tribuno (888-912)","888-912: Angela Sanudo"
"Orso II Participazio (912-932)",
"Pietro II Candiano (932-939)",
"Pietro Participazio (939-942)",
"Pietro III Candiano (942-959)","942-959: Arcielda Candiano"
"Pietro IV Candiano (959-976)","959-966: Giovanniccia Candiano"
"Pietro IV Candiano (959-976)","966-976: Waldrada di Toscana"
"Pietro I Orseolo (976-978)","976-978: Felicia Malipiero"
"Vitale Candiano (978-979)",
"Tribuno Memmo (979-991)","979-991: Marina Candiano"
"Pietro II Orseolo (991-1009)","991-1009: Maria Candiano"
"Ottone Orseolo (1009-1026)","1009-1026: Grimelda d'Ungheria"
"Pietro Barbolano (1026-1032)",
"Domenico Flabanico (1032-1041)",
"Domenico I Contarini (1041-1071)",
"Domenico Selvo (1071-1084)","1075-1083: Theodora Anna Doukaina Selvo"
"Vital Faliero de' Doni (1084-1096)","1084-1096: Cornella Bembo"
"Vital I Michele (1096-1102)","1096-1102: Felicia Cornaro (o Corner)"
"Ordelafo Faliero (1102-1117)","1102-1116: Matelda Faliero (o Falier)"
"Domenico Michele (1117-1130)","1116-1130: Alicia Michele (o Michiel)"
"Domenico Morosini (1148-1156)",
"Vital II Michele (1156-1172)","1156-1172: Felicita Maria di Boemodo"
"Sebastian Ziani (1172-1178)","1172-1178: Cecilia"
"Orio Mastropiero (1178-1192)",
"Enrico Dandolo (1192-1205)","1192-1205: Felicita Bembo"
"Pietro Ziani (1205-1229)","1205-1229: Costanza di Sicilia"
"Jacopo Tiepolo (1229-1249)","1229-1240: Maria Storlato"
"Jacopo Tiepolo (1229-1249)","1242-1249: Valdrada di Sicilia"
"Marino Morosini (1249-1252)",
"Reniero Zeno (1252-1268)","1252-1268: Loicia da Prata"
"Lorenzo Tiepolo (1268-1275)","1268-1275: Agnese Ghisi"
"Lorenzo Tiepolo (1268-1275)","1272-1275: Marchesina di Brienne"
"Jacopo Contarini (1275-1280)","1275-1280: Jacobina"
"Giovanni Dandolo (1280-1289)","1280-1289: Caterina"
"Pietro Gradenigo (1289-1311)","1289-1310: Tommasina Morosini"
"Marino Zorzi (1311-1312)","1310-1312: Agnese"
"Giovanni Soranzo (1312-1328)","1312-1329: Franchesina"
"Francesco Dandolo (1328-1339)","1329-1339: Elisabetta Contarini"
"Bartolomeo Gradenigo (1339-1342)","1339-1342: Giustina Cappello"
"Andrea Dandolo (1342-1354)","1342-1354: Francesca Morosini"
"Marino Faliero (1354-1355)","1354-1355: Aluycia Gradenigo"
"Giovanni Gradenigo (1355-1356)","1355-1356: Marina Cappello"
"Giovanni Dolfin (1356-1361)","1361-1365: Marchesina Ghisi"
"Lorenzo Celsi (1361-1365)",
"Marco Cornaro (1365-1367)","1365-1367: Caterina Cornaro (o Corner)"
"Andrea Contarini (1367-1382)",
"Michele Morosini (1382-1382)","1382-1382: Cristina Condulmiero (o Condulmer)"
"Antonio Venier (1382-1400)","1382-1400: Agnese"
"Michele Steno (1400-1413)","1400-1413: Marina Galina"
"Tommaso Mocenigo (1413-1423)",
"Francesco Foscari (1423-1457) - forzado a abdicar por el Consejo de los Diez","1423-1457: Marina Nani"
"Pasqual Malipiero (1457-1462)","1457-1462: Giovanna Dandolo"
