"Cristoforo Moro (1462-1466)","1462-1471: Cristina Sanudo"
"Nicolo Tron (1466-1473)","1471-1472: Aliodea Morosini"
"Nicolo Marcello (1473-1474)","1473-1474: Contarina Contarini Morosini"
"Pietro Mocenigo (1474-1476)","1474-1476: Laura Zorzi"
"Andrea Vendramin (1476-1478)","1476-1478: Regina Gradenico (o Gradenigo)"
"Giovanni Mocenigo (1478-1485)","1478-1485: Taddea Michiel"
"Marco Barbarigo (1485-1486)","1485-1486: Lucia Ruzzini"
"Agostino Barbarigo (1486-1501)","1486-1501: Elisabetta Soranzo"
"Leonardo Loredan (1501-1521)","1501-1521: Giustina Giustiniani"
"Antonio Grimani (1521-1523)","1521-1523: Caterina Loredan"
"Andrea Gritti (1523-1538)","1523-1538: Benedetta Vendramin"
"Pietro Lando (1538-1545)","1538-1545: Maria Pasqualigo"
"Francesco Donato (1545-1553)","1545-1553: Alicia Giustiniani"
"Marcantonio Trivisan (1553-1554)",
"Francesco Venier (1554-1556)",
"Lorenzo Priuli (1556-1559)","1556-1559: Zilia Dandolo"
"Giorolamo Priuli (1559-1567)","1559-1567: Elena Diedo"
"Pietro Loredan (1567-1570)","1567-1570: Maria Cappello"
"Alvise Mocenigo (1570-1577)","1570-1577: Loredana Marcello"
"Sebastiano Venier (1577-1578)","1577-1578: Cecilia Contarini"
"Nicolò da Ponte (1578-1585)","1578-1585: Arcangela Canali"
"Pasqual Cicogna (1585-1595)","1585-1595: Laura Morosini"
"Marino Grimani (1595-1605)","1595-1606: Morosina Morosini"
"Leonardo Donato (1606-1612)",
"Marcantonio Memmo (1612-1615)",
"Giovanni Bembo (1615-1618)",
"Nicolò Donato (1618-1618)",
"Antonio Priuli (1618-1623)","1618-1623: Elena Barbarigo"
"Francesco Contarini (1623-1624)",
"Giovanni I Corner (1624-1630)","1625-1629: Chiara Delfino (o Dolfin)"
"Nicolò Contarini (1630-1631)",
"Francesco Erizzo (1631-1646)",
"Francesco Molin (1646-1655)",
"Carlo Contarini (1655-1656)","1655-1656: Paolina Loredano (o Loredan)"
"Francesco Corner (1656-1656)","1656-1656: Andreana Priuli"
"Bertuccio Valier (1656-1658)","1656-1658: Elisabetta Pisano (o Pisani)"
"Giovanni Pesaro (1658-1659)","1658-1659: Lucia Barbarigo"
"Domenico Contarini (1659-1674)",
"Nicolò Sagredo (1674-1676)",
"Luigi Contarini (1676-1683)",
"Marcantonio Giustinian (1683-1688)",
"Francesco Morosini (1688-1694)",
"Silvestro Valier (1694-1700)","1694-1700: Elisabetta Querini"
"Alvise Mocenigo (1700-1709)",
"Giovanni II Corner (1709-1722)","1709-1722: Laura Cornaro (o Corner)"
"Sebastiano Mocenigo (1722-1732)",
"Carlo Ruzzini (1732-1735)",
"Alvise Pisani (1735-1741)","1735-1741: Elena Badoero (o Badoer)"
"Pietro Grimani (1741-1752)",
"Francesco Loredan (1752-1762)",
"Marco Foscarini (1762-1763)",
"Alvise Giovanni Mocenigo (1763-1779)","1763-1769: Pisana Cornaro (o Corner)"
"Alvise Giovanni Mocenigo (1763-1779)","1771-1779: Polissena Contarini Da Mula"
"Paolo Renier (1779-1789)","1779-1789: Margherita Dalmet - non riconosciuta"
"Ludovico Manin (1789-1797) - forzado a abdicar por Napoleón Bonaparte","1789-1792: Elisabetta Grimani"
