"Viaro","Da Mula",1201
"Corner","Donato",1191
"Gradenigo","Venier",1222
"Malipiero","Arimondo",1320
"Tiepolo","Baseggio",1321
"Emo","Nicola",1253
"Corner","Semitecolo",1190
"Moro","Ardizon",1121
"Barbarigo","Morosini",1329
"Da Molin","Brizi",1331
"Emo","Badoer",1253
"Zulian","Marano",1167
"Barbarigo","Badoer",1321
"Viaro","Zen",1313
"Trevisan","Dalla Fontana",1315
"Barbarigo","Morosini",1321
"Trevisan","Barastro",1256
"Gradenigo","Mocenigo",1207
"Viaro","Lion",1313
"Martinazo","Corner",1320
"Bon","Muazzo",1221
"Emo","Grasso",1226
"Morosini","Zordani",1328
"Loredan","Babilonio",1333
"Venier","Malaza",1161
"Emo","Nadal",1205
"Baseggio","Nadal",1192
"Gradenigo","Ziani",1208
"Sagredo","Arimondo",1320
"Belegno","Barbetta",1316
"Barbo","Minio",1242
"Romani","Agadi",1212
"Michiel","Boccazo",1234
"Venier","Caravello",1239
"Barbo","Grimani",1232
"Minio","Marin",1230
"Gussoni","Michiel",1260
"Venier","Michiel",1261
"Albino","Muazzo",1239
"Lombardo","Nani",1238
"Gradenigo","Soranzo",1213
